spec,coef,se,p,stars
R1: Main TWFE (+Income),-0.01233588351281923,0.003357783810546842,0.00023895382534933063,***
R2: TWFE (no controls),-0.012293341459316055,0.0033586790789902287,0.00025204649083510056,***
R3: DH(2024) WAS +Income,0.012012280345533916,0.04601299930868817,0.788,
R4: Pre-determined WFH (2019×post),-0.014500498818369852,0.004588103996899931,0.0015752262911294945,**
R5: Frisch-Waugh (detrended),-0.008445768740928013,0.004166146386874504,0.04263811619125568,*
R6: Metro-Core + Metro-Fringe,-0.012124072665127623,0.0032091311772834987,0.0001580978079291917,***
