group,N,coef,se,p,stars
Metro-Core (own WFH),33,-0.01233588351281923,0.003357783810546842,0.00023895382534933063,***
Non-Metro (own WFH),21,-0.006367900597044336,0.0018692638147978459,0.0006576887911180496,***
Non-Metro (region metro WFH spillover),21,-0.0074030544001606365,0.004886232258382538,0.12975102495899082,
"Own WFH (interaction model, at mean region metro)",21,-0.007578825461167452,0.002048503966007131,0.0002158647160344085,***
"Region metro WFH (interaction model, at mean own)",21,-0.009285603001177384,0.006618891847616253,0.16064848000909882,
Interaction (own WFH x region metro WFH),21,0.00034274666509560945,0.0005074503436280593,0.4994032623016449,
Own WFH marginal effect at LOW region metro (p25),21,-0.008412611933862441,,,
Own WFH marginal effect at HIGH region metro (p75),21,-0.007335576746017795,,,
