col,method,sample,level,coef,se,p,stars
(1),TWFE Baseline,Metro-Core,County,-0.012293341459316055,0.0033586790789902287,0.00025204649083510056,***
(2),TWFE +Income,Metro-Core,County,-0.01233588351281923,0.003357783810546842,0.00023895382534933063,***
(3),TWFE +Income +Unemp,Metro-Core,County,-0.010206324409324693,0.003285941063737186,0.0018959935106603876,**
(4),DH(2024) WAS (no ctrl),Metro-Core,County,0.013464783839936873,0.04830561651130752,0.787,
(5),DH(2024) WAS +Income,Metro-Core,County,0.012012280345533916,0.04601299930868817,0.788,
(6),Supply: Constrained,Metro-Core High P/I,County,-0.011947653825360574,0.003215599527620022,0.00020277887363540081,***
(7),Supply: Elastic,Metro-Core Low P/I,County,-0.004023251344024312,0.003529608639963104,0.25434561892676677,
(8),Non-Metro (demand null),Non-Metro,County,-0.006367900597044336,0.0018692638147978459,0.0006576887911180496,***
