model,metro_coef,metro_se,metro_p,metro_stars,nm_coef,nm_se,nm_p,nm_stars
(1) Baseline,-0.012293341459316055,0.0033586790789902287,0.00025204649083510056,***,-0.00637881217818971,0.001890052445151987,0.0007383198761841125,***
(2) +Income,-0.01233588351281923,0.003357783810546842,0.00023895382534933063,***,-0.006367900597044336,0.0018692638147978459,0.0006576887911180496,***
(3) +Unemp,-0.010206324409324693,0.003285941063737186,0.0018959935106603876,**,-0.0062724174104236375,0.0020272792581468887,0.001974724349082191,**
