group,N_counties,coef,se,p,stars
Constrained (High P/I),17.0,-0.011947653825360574,0.003215599527620022,0.00020277887363540081,***
Elastic (Low P/I),16.0,-0.004023251344024312,0.003529608639963104,0.25434561892676677,
Difference,,-0.007924402481336263,0.004774747896311626,0.09698521500495416,†
