term,coef,se,year,p,stars,ref_year
wfh_x_2017,-0.003642914889445591,0.005340999007119405,2017,0.4951970928512033,,False
wfh_x_2018,-0.0024893809675597257,0.0026920708144758734,2018,0.3551175176000747,,False
ref,0.0,0.0,2019,1.0,,True
wfh_x_2020,-0.004470476117785397,0.001375230076607876,2020,0.0011511664015273482,**,False
wfh_x_2021,-0.002151663116536873,0.0008768948444100723,2021,0.014138312420533872,*,False
wfh_x_2022,-0.002325957059774327,0.0016087690109030397,2022,0.14823351124631667,,False
wfh_x_2023,-0.005408049994706137,0.0019430779625242837,2023,0.005381917631140043,**,False
