spec,was,se,p,stars,as,as_se,as_p
No controls,0.013464783839936873,0.04830561651130752,0.787,,0.00861775461624181,0.032451162484441846,0.831
+d.Income,0.012012280345533916,0.04601299930868817,0.788,,-0.005084174060594684,0.04061552769139147,0.904
+d.Unemp,0.017859836423782686,0.04625913790078049,0.738,,0.014830958626024642,0.03281930567077361,0.662
+All controls,0.012012280345533916,0.04601299930868817,0.788,,-0.005084174060594684,0.04061552769139147,0.904
