CountyName,year,log_price,wfh_rate,median_income,unemployment_rate,population,n_zips
Alameda County,2017,13.52130588099939,5.874234087163113,90082.38107030139,0.0603917411966187,1631447.0,47.0
Alameda County,2018,13.633480122772724,6.139635897021402,96971.61583755037,0.0506046523047304,1645507.0,47.0
Alameda County,2019,13.635768356232811,6.322017099762681,103398.29781662705,0.0461498147921542,1658947.0,47.0
Alameda County,2020,13.659647621233198,10.894679272707156,109598.3916236152,0.0472303198003509,1663319.0,47.0
Alameda County,2021,13.797817675788913,16.286794556553414,117785.73398887765,0.0502257358272493,1671588.0,47.0
Alameda County,2022,13.900169779905411,20.497261375499793,128992.36873669548,0.0493664180652251,1663439.0,47.0
Alameda County,2023,13.828890709541188,23.112840465523846,134101.59225334032,0.0516539211091087,1651344.0,47.0
Alpine County,2017,12.83207407805821,13.4796,62132.0,0.1567,1097.0,1.0
Alpine County,2018,12.883396441926564,14.377,59625.0,0.1869,1044.0,1.0
Alpine County,2019,12.927933711806872,20.3571,59643.0,0.1331,926.0,1.0
Alpine County,2020,12.961364781925194,24.1877,68250.0,0.0924,927.0,1.0
Alpine County,2021,13.122835512701373,19.1257,75500.0,0.09,1061.0,1.0
Alpine County,2022,13.23817055718982,20.0405,92917.0,0.0383,1209.0,1.0
Alpine County,2023,13.196192892600202,18.8192,100909.0,0.0284,1273.0,1.0
Amador County,2017,12.629732391222962,6.338316304581631,62245.25557255245,0.098805210798021,37192.0,10.0
Amador County,2018,12.710214304623756,7.452731267323074,62594.622698004714,0.0904954095504579,37883.0,10.0
Amador County,2019,12.74504332899092,9.030311467234617,65688.36180878419,0.0688833277057738,38501.0,10.0
Amador County,2020,12.795224468010652,9.723761332445719,68346.61452847322,0.0643948561040557,39056.0,10.0
Amador County,2021,12.92166500160232,11.46320907300289,72230.51047008547,0.0662239179216116,40108.0,10.0
Amador County,2022,13.018225116722125,13.146223282941627,79220.02533572962,0.0588696268711928,40549.0,10.0
Amador County,2023,12.979839709345562,14.068717873369485,84067.84686188237,0.0606002198446431,40938.0,10.0
Butte County,2017,12.57285260415586,5.748326771465155,47728.565229527296,0.0919823037354399,225703.0,16.0
Butte County,2018,12.645999275758136,5.90279552467779,49328.788467341146,0.0886183215233942,227492.0,16.0
Butte County,2019,12.735618598051216,5.7598705011928955,53303.0938468882,0.082980831795185,225921.0,16.0
Butte County,2020,12.746460749969417,7.602564106613222,55941.18017435649,0.0748867990534005,223537.0,16.0
Butte County,2021,12.839786736872638,9.228545326203307,60353.86259918122,0.0728063109003955,217671.0,16.0
Butte County,2022,12.91393397751158,10.591180418963615,67126.47505264939,0.0730723704520397,213145.0,16.0
Butte County,2023,12.862878861665713,11.33659406577396,69874.42780034768,0.0719468292004946,208654.0,16.0
Calaveras County,2017,12.591122780814368,8.292332543912917,58012.367264696506,0.0725856914738096,44463.0,15.0
Calaveras County,2018,12.670987854757476,9.5456905035939,62809.93564567053,0.0596798226561275,44659.0,15.0
Calaveras County,2019,12.707211726654352,9.169472775020587,65554.36990595612,0.06329577370752,44933.0,16.0
Calaveras County,2020,12.736854431014459,10.70014104571694,67079.90011133377,0.0508466746289783,45213.0,16.0
